danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,isLiked
0.6459999999999999,0.795,9,-3.293,1,0.0976,0.0319,0.0,0.267,0.7959999999999999,89.99,audio_features,0qOnSQQF0yzuPWsXrQ9paz,spotify:track:0qOnSQQF0yzuPWsXrQ9paz,https://api.spotify.com/v1/tracks/0qOnSQQF0yzuPWsXrQ9paz,https://api.spotify.com/v1/audio-analysis/0qOnSQQF0yzuPWsXrQ9paz,210960,4,Stereo Hearts (feat. Adam Levine),0
0.743,0.841,0,-5.189,1,0.0391,0.0156,0.0,0.133,0.8140000000000001,100.00299999999999,audio_features,5hGSM1NIumwLgI0Y97X9xB,spotify:track:5hGSM1NIumwLgI0Y97X9xB,https://api.spotify.com/v1/tracks/5hGSM1NIumwLgI0Y97X9xB,https://api.spotify.com/v1/audio-analysis/5hGSM1NIumwLgI0Y97X9xB,226800,4,New Thang,0
0.768,0.82,7,-4.63,0,0.0475,0.179,0.0,0.7040000000000001,0.625,129.969,audio_features,2V4bv1fNWfTcyRJKmej6Sj,spotify:track:2V4bv1fNWfTcyRJKmej6Sj,https://api.spotify.com/v1/tracks/2V4bv1fNWfTcyRJKmej6Sj,https://api.spotify.com/v1/audio-analysis/2V4bv1fNWfTcyRJKmej6Sj,213293,4,Cooler Than Me - Single Mix,1
0.775,0.68,0,-5.507999999999999,0,0.0629,0.009059999999999999,0.0,0.109,0.6559999999999999,114.025,audio_features,7oGZAicScQt96OAW4AruYy,spotify:track:7oGZAicScQt96OAW4AruYy,https://api.spotify.com/v1/tracks/7oGZAicScQt96OAW4AruYy,https://api.spotify.com/v1/audio-analysis/7oGZAicScQt96OAW4AruYy,207719,4,Want to Want Me,1
0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.11599999999999999,0.319,89.391,audio_features,0d2iYfpKoM0QCKvcLCkBao,spotify:track:0d2iYfpKoM0QCKvcLCkBao,https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao,https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao,173800,4,Eastside (with Halsey & Khalid),0
0.5379999999999999,0.409,9,-6.581,0,0.0505,0.172,0.0,0.11,0.265,171.838,audio_features,3id2EVGKc3eFAMn9nFnB0r,spotify:track:3id2EVGKc3eFAMn9nFnB0r,https://api.spotify.com/v1/tracks/3id2EVGKc3eFAMn9nFnB0r,https://api.spotify.com/v1/audio-analysis/3id2EVGKc3eFAMn9nFnB0r,205440,4,Love Someone,0
0.755,0.769,10,-5.6579999999999995,0,0.18600000000000003,0.314,2.38e-06,0.0628,0.642,114.96600000000001,audio_features,6qNALlmZa1ESnCxJmXE1K9,spotify:track:6qNALlmZa1ESnCxJmXE1K9,https://api.spotify.com/v1/tracks/6qNALlmZa1ESnCxJmXE1K9,https://api.spotify.com/v1/audio-analysis/6qNALlmZa1ESnCxJmXE1K9,186080,4,The Way I Am,1
0.552,0.76,0,-4.706,1,0.342,0.0733,0.0,0.0865,0.639,135.702,audio_features,5WvAo7DNuPRmk4APhdPzi8,spotify:track:5WvAo7DNuPRmk4APhdPzi8,https://api.spotify.com/v1/tracks/5WvAo7DNuPRmk4APhdPzi8,https://api.spotify.com/v1/audio-analysis/5WvAo7DNuPRmk4APhdPzi8,260000,5,No Brainer,0
0.748,0.7879999999999999,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.07600000000001,audio_features,494OU6M7NOf4ICYb4zWCf5,spotify:track:494OU6M7NOf4ICYb4zWCf5,https://api.spotify.com/v1/tracks/494OU6M7NOf4ICYb4zWCf5,https://api.spotify.com/v1/audio-analysis/494OU6M7NOf4ICYb4zWCf5,235493,4,Sugar,0
0.742,0.713,1,-5.522,0,0.0303,0.0205,0.0,0.059000000000000004,0.879,120.03200000000001,audio_features,5rwdhliMmo0aAQ08vU0AOZ,spotify:track:5rwdhliMmo0aAQ08vU0AOZ,https://api.spotify.com/v1/tracks/5rwdhliMmo0aAQ08vU0AOZ,https://api.spotify.com/v1/audio-analysis/5rwdhliMmo0aAQ08vU0AOZ,189960,4,Maps,0
0.611,0.462,0,-7.053999999999999,1,0.0646,0.5579999999999999,1.01e-06,0.131,0.377,59.635,audio_features,7npLlaPu9Mfno8hjk5OagD,spotify:track:7npLlaPu9Mfno8hjk5OagD,https://api.spotify.com/v1/tracks/7npLlaPu9Mfno8hjk5OagD,https://api.spotify.com/v1/audio-analysis/7npLlaPu9Mfno8hjk5OagD,215230,4,Girls Like You,0
0.655,0.603,8,-5.013999999999999,1,0.0555,0.0959,0.0,0.107,0.452,126.088,audio_features,3T9CfDxFYqZWSKxd0BhZrb,spotify:track:3T9CfDxFYqZWSKxd0BhZrb,https://api.spotify.com/v1/tracks/3T9CfDxFYqZWSKxd0BhZrb,https://api.spotify.com/v1/audio-analysis/3T9CfDxFYqZWSKxd0BhZrb,190643,4,Wait,0
0.7040000000000001,0.81,4,-4.873,0,0.0425,0.000307,0.0,0.21600000000000003,0.7120000000000001,102.98,audio_features,2kjj2GbefdL93ynVCAB95B,spotify:track:2kjj2GbefdL93ynVCAB95B,https://api.spotify.com/v1/tracks/2kjj2GbefdL93ynVCAB95B,https://api.spotify.com/v1/audio-analysis/2kjj2GbefdL93ynVCAB95B,216200,4,Misery,0
0.743,0.752,4,-4.813,1,0.0414,0.0188,0.0,0.287,0.545,110.015,audio_features,1XGmzt0PVuFgQYYnV2It7A,spotify:track:1XGmzt0PVuFgQYYnV2It7A,https://api.spotify.com/v1/tracks/1XGmzt0PVuFgQYYnV2It7A,https://api.spotify.com/v1/audio-analysis/1XGmzt0PVuFgQYYnV2It7A,231173,4,Payphone,0
0.716,0.821,5,-3.435,0,0.0314,0.0558,0.0,0.0844,0.618,92.99700000000001,audio_features,6cpk00i5TxCqSeqNi2HuIe,spotify:track:6cpk00i5TxCqSeqNi2HuIe,https://api.spotify.com/v1/tracks/6cpk00i5TxCqSeqNi2HuIe,https://api.spotify.com/v1/audio-analysis/6cpk00i5TxCqSeqNi2HuIe,219547,4,One More Night,0
0.705,0.64,11,-6.928,0,0.225,0.0237,0.0,0.262,0.887,144.077,audio_features,7gvd8xj4QgPqbQSsn5pV7d,spotify:track:7gvd8xj4QgPqbQSsn5pV7d,https://api.spotify.com/v1/tracks/7gvd8xj4QgPqbQSsn5pV7d,https://api.spotify.com/v1/audio-analysis/7gvd8xj4QgPqbQSsn5pV7d,203760,4,Sorry Not Sorry,0
0.499,0.7859999999999999,8,-4.802,1,0.099,0.0744,0.0,0.22899999999999998,0.499,174.012,audio_features,0B84P27yShVnMsodp7OmkY,spotify:track:0B84P27yShVnMsodp7OmkY,https://api.spotify.com/v1/tracks/0B84P27yShVnMsodp7OmkY,https://api.spotify.com/v1/audio-analysis/0B84P27yShVnMsodp7OmkY,210840,4,Heart Attack,0
0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,audio_features,27SdWb2rFzO6GWiYDBTD9j,spotify:track:27SdWb2rFzO6GWiYDBTD9j,https://api.spotify.com/v1/tracks/27SdWb2rFzO6GWiYDBTD9j,https://api.spotify.com/v1/audio-analysis/27SdWb2rFzO6GWiYDBTD9j,211667,4,Cheap Thrills,0
0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.7509999999999999,125.008,audio_features,2EBCVPNAG46nbgs6jXPGvv,spotify:track:2EBCVPNAG46nbgs6jXPGvv,https://api.spotify.com/v1/tracks/2EBCVPNAG46nbgs6jXPGvv,https://api.spotify.com/v1/audio-analysis/2EBCVPNAG46nbgs6jXPGvv,210627,4,Starships,0
0.723,0.862,11,-4.357,1,0.201,0.264,4.46e-06,0.599,0.679,126.98899999999999,audio_features,3t3bnn2VzxXYqleFpsH6Cb,spotify:track:3t3bnn2VzxXYqleFpsH6Cb,https://api.spotify.com/v1/tracks/3t3bnn2VzxXYqleFpsH6Cb,https://api.spotify.com/v1/audio-analysis/3t3bnn2VzxXYqleFpsH6Cb,200013,4,Super Bass,0
0.65,0.736,6,-5.84,0,0.22899999999999998,0.0513,0.0,0.235,0.612,159.174,audio_features,1pKeFVVUOPjFsOABub0OaV,spotify:track:1pKeFVVUOPjFsOABub0OaV,https://api.spotify.com/v1/tracks/1pKeFVVUOPjFsOABub0OaV,https://api.spotify.com/v1/audio-analysis/1pKeFVVUOPjFsOABub0OaV,226160,4,Side To Side,0
0.703,0.747,0,-4.446000000000001,0,0.0895,0.28300000000000003,0.0,0.396,0.7,149.974,audio_features,466s1BacUmiRdR3ISvNjyx,spotify:track:466s1BacUmiRdR3ISvNjyx,https://api.spotify.com/v1/tracks/466s1BacUmiRdR3ISvNjyx,https://api.spotify.com/v1/audio-analysis/466s1BacUmiRdR3ISvNjyx,199320,4,Bang Bang,0
0.5529999999999999,0.586,11,-6.319,1,0.0362,0.6970000000000001,0.0,0.0813,0.44299999999999995,126.684,audio_features,3EPXxR3ImUwfayaurPi3cm,spotify:track:3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/tracks/3EPXxR3ImUwfayaurPi3cm,https://api.spotify.com/v1/audio-analysis/3EPXxR3ImUwfayaurPi3cm,196373,4,Be Alright,0
0.534,0.596,6,-6.653,0,0.11699999999999999,0.56,0.0,0.133,0.324,100.12100000000001,audio_features,1h0yImRPIVAjhhHeNVlTuC,spotify:track:1h0yImRPIVAjhhHeNVlTuC,https://api.spotify.com/v1/tracks/1h0yImRPIVAjhhHeNVlTuC,https://api.spotify.com/v1/audio-analysis/1h0yImRPIVAjhhHeNVlTuC,190867,4,Youth (feat. Khalid),0
0.64,0.5329999999999999,0,-6.596,1,0.0706,0.11900000000000001,0.0,0.0864,0.515,99.96799999999999,audio_features,3eR23VReFzcdmS7TYCrhCe,spotify:track:3eR23VReFzcdmS7TYCrhCe,https://api.spotify.com/v1/tracks/3eR23VReFzcdmS7TYCrhCe,https://api.spotify.com/v1/audio-analysis/3eR23VReFzcdmS7TYCrhCe,220781,4,It Ain't Me (with Selena Gomez),0
0.677,0.49700000000000005,5,-5.763,1,0.0809,0.152,0.0,0.0911,0.419,99.137,audio_features,0Zbbxnx4SGGHoIow4PpISP,spotify:track:0Zbbxnx4SGGHoIow4PpISP,https://api.spotify.com/v1/tracks/0Zbbxnx4SGGHoIow4PpISP,https://api.spotify.com/v1/audio-analysis/0Zbbxnx4SGGHoIow4PpISP,236853,4,Stargazing,0
0.684,0.64,11,-7.343999999999999,0,0.0453,0.40399999999999997,2.7699999999999996e-05,0.0989,0.425,113.917,audio_features,365NFpqKShIPDEC6fxnUNp,spotify:track:365NFpqKShIPDEC6fxnUNp,https://api.spotify.com/v1/tracks/365NFpqKShIPDEC6fxnUNp,https://api.spotify.com/v1/audio-analysis/365NFpqKShIPDEC6fxnUNp,270787,4,Firestone (feat. Conrad Sewell),0
0.413,0.856,0,-4.078,0,0.0808,0.0289,0.00571,0.34299999999999997,0.35,128.017,audio_features,07nH4ifBxUB4lZcsf44Brn,spotify:track:07nH4ifBxUB4lZcsf44Brn,https://api.spotify.com/v1/tracks/07nH4ifBxUB4lZcsf44Brn,https://api.spotify.com/v1/audio-analysis/07nH4ifBxUB4lZcsf44Brn,212960,4,Blame,0
0.63,0.9279999999999999,9,-2.787,0,0.0331,0.19899999999999998,0.124,0.14800000000000002,0.465,123.963,audio_features,0azC730Exh71aQlOt9Zj3y,spotify:track:0azC730Exh71aQlOt9Zj3y,https://api.spotify.com/v1/tracks/0azC730Exh71aQlOt9Zj3y,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,222160,4,This Is What You Came For,0
0.6459999999999999,0.823,2,-4.123,0,0.0394,0.213,0.0,0.322,0.418,128.035,audio_features,7MmG8p0F9N3C4AXdK6o6Eb,spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/tracks/7MmG8p0F9N3C4AXdK6o6Eb,https://api.spotify.com/v1/audio-analysis/7MmG8p0F9N3C4AXdK6o6Eb,227267,4,Outside,0
0.738,0.868,11,-4.373,0,0.0731,0.0389,0.0017100000000000001,0.38799999999999996,0.336,122.00299999999999,audio_features,22mek4IiqubGD9ctzxc69s,spotify:track:22mek4IiqubGD9ctzxc69s,https://api.spotify.com/v1/tracks/22mek4IiqubGD9ctzxc69s,https://api.spotify.com/v1/audio-analysis/22mek4IiqubGD9ctzxc69s,212640,4,How Deep Is Your Love,0
0.581,0.93,4,-3.904,1,0.10400000000000001,0.185,5.16e-05,0.0459,0.5660000000000001,127.979,audio_features,6GuwQACz8ZNl5egtgtuJ2D,spotify:track:6GuwQACz8ZNl5egtgtuJ2D,https://api.spotify.com/v1/tracks/6GuwQACz8ZNl5egtgtuJ2D,https://api.spotify.com/v1/audio-analysis/6GuwQACz8ZNl5egtgtuJ2D,213973,4,Sweet Nothing,0
0.695,0.8590000000000001,8,-5.124,1,0.0511,0.373,0.0,0.134,0.565,124.97,audio_features,1hIgZK47IeaZlb2EfYqbr3,spotify:track:1hIgZK47IeaZlb2EfYqbr3,https://api.spotify.com/v1/tracks/1hIgZK47IeaZlb2EfYqbr3,https://api.spotify.com/v1/audio-analysis/1hIgZK47IeaZlb2EfYqbr3,234453,4,I Need Your Love (feat. Ellie Goulding),0
